repo_url,owner,repo,bugs,code_smells,vulnerabilities,security_hotspots,vuln_blocker,vuln_critical,vuln_major,vuln_minor,vuln_info,ncloc,files,functions
https://github.com/shabicode/Unit-Testing-Course-Dot-Net,shabicode,unit-testing-course-dot-net,0,46,0,0,2,5,28,9,2,1141,43,115
https://github.com/ThoughtStuff/WebGL.Template,thoughtstuff,webgl.template,9,22,0,0,0,5,20,4,2,3904,39,177
https://github.com/Athena65/WebApi_Dapper,athena65,webapi_dapper,0,3,0,4,0,1,1,1,0,436,15,73
https://github.com/ShiftSoftware/ShiftTemplates,shiftsoftware,shifttemplates,0,15,0,7,0,0,3,7,5,370,113,8
https://github.com/jhoney92021/JayPolyGlot,jhoney92021,jaypolyglot,0,227,0,0,0,52,85,78,12,2944,71,226
https://github.com/sYnced7/StorageInstruments,synced7,storageinstruments,6,162,0,8,0,15,70,80,3,16245,197,462
https://github.com/jaen003/csharp-ddd-api-skeleton,jaen003,csharp-ddd-api-skeleton,0,38,0,3,0,1,10,24,3,3255,123,391
https://github.com/Dzitskiy/Solarlab.Academy-2023,dzitskiy,solarlab.academy-2023,0,48,0,9,0,6,28,6,8,2024,74,279
https://github.com/TheLe0/create-api-client,thele0,create-api-client,0,1,0,0,0,0,1,0,0,290,14,38
https://github.com/spindev/dotnet-docker-action,spindev,dotnet-docker-action,0,1,0,2,0,0,1,0,0,18,3,0
https://github.com/marcos-venicius/clean.architecture.template,marcos-venicius,clean.architecture.template,0,9,0,0,0,0,3,6,0,769,34,91
https://github.com/fatea-k/GameServer,fatea-k,gameserver,6,125,0,3,2,8,90,20,11,1665,31,193
https://github.com/IADE-FP/iade-fp-2024-2025-projeto,iade-fp,iade-fp-2024-2025-projeto,0,0,0,0,0,0,0,0,0,1,1,0
https://github.com/MarioCodes/functional-templates,mariocodes,functional-templates,0,46,20,4,0,1,63,1,1,912,45,21
https://github.com/Y-Kilic/WorldSeed,y-kilic,worldseed,0,111,0,4,0,6,82,19,4,2123,78,415
https://github.com/thiago-roock/Microsservice-Application,thiago-roock,microsservice-application,0,0,0,2,0,0,0,0,0,1843,23,0
https://github.com/Nodirbek-Abdulaxadov/LazyCatTemplate,nodirbek-abdulaxadov,lazycattemplate,0,15,0,1,0,0,3,7,5,744,21,57
https://github.com/rak3xh/DiscordBot-by-rak3xh,rak3xh,discordbot-by-rak3xh,0,3,0,1,0,0,3,0,0,195,5,13
https://github.com/DurgaDuttTiwari/Reqnroll-Automation-Demo-Test-Framework,durgadutttiwari,reqnroll-automation-demo-test-framework,0,6,0,0,0,0,0,0,6,0,0,0
https://github.com/Nexus-Mods/NexusMods.App.Template,nexus-mods,nexusmods.app.template,0,0,0,0,0,0,0,0,0,0,2,0
https://github.com/fabulousneo/Calculator-2.0,fabulousneo,calculator-2.0,0,3,0,0,0,0,3,0,0,40,1,4
https://github.com/bnayae/Bnaya.Dotnet.Template,bnayae,bnaya.dotnet.template,0,1,0,0,0,0,1,0,0,53,5,2
https://github.com/LuckyCodeDog/.NetCoreMVC_Three_Layers_Scaffold,luckycodedog,.netcoremvc_three_layers_scaffold,1,21,0,0,0,3,13,4,2,616,33,77
https://github.com/JhayRod/ToDoListApp-C-ASP.NET-MVC-VS2022,jhayrod,todolistapp-c-asp.net-mvc-vs2022,0,1,0,0,0,0,1,0,0,14,1,0
https://github.com/BigWingBeat/rain-world-mod-template,bigwingbeat,rain-world-mod-template,0,1,0,0,0,0,0,0,1,23,2,1
https://github.com/Maxwell-Muthui-Mwangi/Bank-Interest-Rate-application,maxwell-muthui-mwangi,bank-interest-rate-application,1,3,0,0,1,0,1,2,0,64,1,2
https://github.com/dizco/AzureDevOps.InnerSource,dizco,azuredevops.innersource,17,92,0,9,0,5,56,36,12,2943,83,356
https://github.com/sergeymkrt/CleanArchitectureTemplate,sergeymkrt,cleanarchitecturetemplate,1,306,1,7,2,6,242,26,32,4816,122,658
https://github.com/dbahadori/CleanArchitectureTemplate,dbahadori,cleanarchitecturetemplate,0,61,0,1,0,1,32,3,25,30,2,2
https://github.com/AlaaElsayed99/Chat-Chirp,alaaelsayed99,chat-chirp,1,280,1,3,5,12,183,78,4,4813,166,569
https://github.com/ajrojasfuentes/SistemaInventario-cs-ASP.NET8CoreWebAppMVC,ajrojasfuentes,sistemainventario-cs-asp.net8corewebappmvc,0,3,0,0,0,1,2,0,0,311,18,7
https://github.com/SoftwareCraftersMurcia/christmas-tree,softwarecraftersmurcia,christmas-tree,0,1,0,0,0,0,1,0,0,57,10,7
https://github.com/gomesluiz/distributed-app-template,gomesluiz,distributed-app-template,0,21,0,2,1,3,13,3,1,757,28,46
https://github.com/mohrmz/Farjad,mohrmz,farjad,8,269,0,7,1,22,153,86,15,5445,226,691
https://github.com/satsvelke/Net-5-API,satsvelke,net-5-api,0,10,0,3,1,0,6,2,1,615,30,124
https://github.com/B3none/counterstrikesharp-plugin-template,b3none,counterstrikesharp-plugin-template,0,1,0,0,0,0,0,0,1,24,1,5
https://github.com/dscdut/dotnet-boilerplate,dscdut,dotnet-boilerplate,0,103,0,3,0,7,51,31,14,2320,84,273
https://github.com/carlosdaniiel07/template-net-core,carlosdaniiel07,template-net-core,0,30,2,6,0,0,13,11,8,1412,69,164
