language,outcome,predictor,n,coef,IRR,IRR_CI_low,IRR_CI_high,p_raw,p_adj_bh_by_language,p_adj_bonf_by_language,sig_raw,sig_bh_by_language,sig_bonf_by_language,p_adj_bh_global,p_adj_bonf_global,sig_bh_global,sig_bonf_global,used_regularized
JavaScript,vuln_blocker,log_forks,3698,0.36884025986978003,1.4460565919560053,1.2537536504275524,1.6678552971122529,4.0620065448517403e-07,3.1335479060284854e-06,2.1934835342199398e-05,True,True,True,6.8546360444373115e-06,0.00010967417671099698,True,True,False
JavaScript,vuln_blocker,log_stars,3698,-0.32023749538211993,0.7259766005079097,0.602121522882211,0.8753083961559746,0.0007925353681344128,0.002139845493962915,0.04279690987925829,True,True,True,0.004552862753112584,0.21398454939629147,True,False,False
JavaScript,vuln_blocker,owner_is_org,3698,-1.1622120365278956,0.3127935043947939,0.2046679259397504,0.47804156876235604,7.854711679765731e-08,7.069240511789159e-07,4.241544307073495e-06,True,True,True,1.7673101279472895e-06,2.1207721535367474e-05,True,True,False
JavaScript,vuln_blocker,repo_age_days,3698,0.00033972768838706784,1.0003397854023737,1.0001324003371148,1.0005472134705042,0.0013205705046035738,0.0032414003294814996,0.07131080724859298,True,True,False,0.006727434646093678,0.35655403624296494,True,False,False
JavaScript,vuln_blocker,staleness_days,3698,-0.0012710295664963803,0.9987297778494637,0.9980457739822693,0.9994142504940453,0.00027671953892734327,0.0008301586167820299,0.014942855102076536,True,True,True,0.0018222994026922605,0.07471427551038268,True,False,False
JavaScript,vuln_critical,commits_last_12m,3698,-8.468855154955387e-06,0.9999915311807057,0.9999847620310647,0.9999983003761688,0.014203553595300757,0.02255858512194826,0.7669918941462409,True,True,False,0.04676779842355128,1.0,True,False,False
JavaScript,vuln_critical,log_forks,3698,0.1504519206586262,1.1623594182843748,1.0045371385539155,1.3449770699561598,0.0433040091327558,0.06138099748959241,1.0,True,False,False,0.10439359344503629,1.0,False,False,False
JavaScript,vuln_critical,log_stars,3698,-0.21106614132179533,0.8097205091253471,0.6775190957599675,0.9677178207985079,0.020298795590111732,0.030448193385167598,1.0,True,True,False,0.060896386770335195,1.0,False,False,False
JavaScript,vuln_critical,owner_is_org,3698,-0.5364935003339387,0.5847952457196715,0.42531561036531146,0.80407460032467,0.0009594307881494873,0.0024671077409558245,0.05180926256007232,True,True,False,0.005286659444905338,0.2590463128003616,True,False,False
JavaScript,vuln_critical,repo_age_days,3698,0.0004932559568007576,1.0004933776275244,1.000296810674634,1.0006899832075167,8.646223046855214e-07,5.8362005566272694e-06,4.6689604453018155e-05,True,True,True,1.2969334570282822e-05,0.0002334480222650908,True,True,False
JavaScript,vuln_critical,staleness_days,3698,-0.001299941809710881,0.9987009027486449,0.9981123157458822,0.9992898368412635,1.5473278671179407e-05,7.529605700136274e-05,0.0008355570482436879,True,True,True,0.0001671114096487376,0.00417778524121844,True,True,False
JavaScript,vuln_info,commits_last_12m,3698,-1.97742598750791e-05,0.9999802259356343,0.9999582182559394,1.0000022340996875,0.07823747721579997,0.10059104213459996,1.0,False,False,False,0.17035579716343544,1.0,False,False,False
JavaScript,vuln_info,log_forks,3698,0.20734247361588126,1.2304038804990236,1.06918930145202,1.4159267279340542,0.0038084036964339844,0.008226151984297407,0.20565379960743516,True,True,False,0.016660931378737507,1.0,True,False,False
JavaScript,vuln_info,log_stars,3698,-0.22756694390090929,0.7964691009641973,0.6779716743403424,0.9356777765205954,0.005624506364361498,0.010473218747431755,0.3037233436755209,True,True,False,0.022332598799670655,1.0,True,False,False
JavaScript,vuln_info,owner_is_org,3698,-0.2496964805833552,0.7790372001075306,0.5600403406176143,1.0836700771985295,0.13812916815196544,0.16575500178235852,1.0,False,False,False,0.25251261395012176,1.0,False,False,False
JavaScript,vuln_info,repo_age_days,3698,0.00021446504475709284,1.000214488044029,1.000036959914091,1.000392047689039,0.01788181365475858,0.027589083924484666,0.9656179373569633,True,True,False,0.05549528375614732,1.0,False,False,False
JavaScript,vuln_info,staleness_days,3698,-0.0009626184372820109,0.9990378447312158,0.9985487049696151,0.999527224098261,0.00011690843360466052,0.0003945659634157293,0.006313055414651668,True,True,True,0.0009018650592359526,0.03156527707325834,True,True,False
JavaScript,vuln_major,commits_last_12m,3698,-2.9329378966598774e-07,0.9999997067062534,0.9999915372361928,1.0000078762430546,0.9439033442305228,0.9439033442305228,1.0,False,False,False,0.9764748797028321,1.0,False,False,False
JavaScript,vuln_major,log_forks,3698,0.12896795790053422,1.1376536707696365,1.0023039882056424,1.2912807789307996,0.045980363966537305,0.062073491354825365,1.0,True,False,False,0.10795389800839193,1.0,False,False,False
JavaScript,vuln_major,log_stars,3698,-0.12013061449190666,0.8868045996201205,0.7646066213386263,1.0285320267441345,0.11227148079439128,0.13778772642948023,1.0,False,False,False,0.21808129362939313,1.0,False,False,False
JavaScript,vuln_major,owner_is_org,3698,-0.25850811934427786,0.7722027612436607,0.5765225550434396,1.0342996978277883,0.08295749068384994,0.1041791743471604,1.0,False,False,False,0.17535126521597738,1.0,False,False,False
JavaScript,vuln_major,repo_age_days,3698,0.00025396065179151753,1.000253992902528,1.0000880565050065,1.000419956832513,0.002698211870006628,0.0060709767075149135,0.14570344098035792,True,True,False,0.01256064146382396,0.7285172049017896,True,False,False
JavaScript,vuln_major,staleness_days,3698,-0.0012594571107945268,0.998741335672452,0.9983420031242258,0.9991408279519962,6.720733054434715e-10,9.072989623486865e-09,3.629195849394746e-08,True,True,True,2.0162199163304143e-08,1.8145979246973729e-07,True,True,False
JavaScript,vuln_minor,commits_last_12m,3698,2.1785436969159057e-05,1.0000217856742735,0.9999092479735298,1.0001343360409007,0.7043882395397758,0.738248643243099,1.0,False,False,False,0.8162438827284956,1.0,False,False,False
JavaScript,vuln_minor,log_forks,3698,0.21196400788590167,1.2361033943034447,1.11019603719085,1.3762899075686688,0.00011009806905700915,0.0003945659634157293,0.005945295729078494,True,True,True,0.0008743081954527198,0.02972647864539247,True,True,False
JavaScript,vuln_minor,log_stars,3698,-0.16284358031152013,0.8497240915976836,0.7492884804102878,0.963622223907868,0.01116944710420264,0.018848441988341957,0.6031501436269425,True,True,False,0.03999198703123473,1.0,True,False,False
JavaScript,vuln_minor,owner_is_org,3698,-0.31307876245503374,0.7311923197986286,0.5701162306045139,0.9377775615431968,0.013664225850253531,0.022359642300414866,0.7378681959136907,True,True,False,0.04554741950084511,1.0,True,False,False
JavaScript,vuln_minor,repo_age_days,3698,8.981353043796924e-05,1.0000898175637938,0.999944024618415,1.0002356317659455,0.22726794159188457,0.2611163584247185,1.0,False,False,False,0.3654241679876979,1.0,False,False,False
JavaScript,vuln_minor,staleness_days,3698,-0.0010132145132090993,0.9989872986152981,0.9986441613638176,0.9993305537698094,7.446957960962654e-09,8.042714597839667e-08,4.0213572989198334e-07,True,True,True,2.0106786494599167e-07,2.0106786494599165e-06,True,True,False
JavaScript,vulnerabilities,commits_last_12m,3698,-7.556053815211327e-07,0.999999244394904,0.9999836505414922,1.000014838491488,0.9243387367208091,0.9417790902438432,1.0,False,False,False,0.9748885113852284,1.0,False,False,False
JavaScript,vulnerabilities,log_forks,3698,0.5788407188490593,1.783969109756613,1.4846895990460112,2.1435765338497355,6.489638369653509e-10,9.072989623486865e-09,3.504404719612895e-08,True,True,True,2.0162199163304143e-08,1.7522023598064473e-07,True,True,False
JavaScript,vulnerabilities,log_stars,3698,-0.5438608960655009,0.5805026597286227,0.4586068796564484,0.7347978255460232,6.1125807841377355e-06,3.300793623434377e-05,0.0003300793623434377,True,True,True,7.175638311813864e-05,0.0016503968117171886,True,True,False
